acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Latitude,Longitude
714411,,Serious,1,1,31/10/2011,Monday,31,October,11,11,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325290,674030,566549,Segment,Bus,351450,unset,EH22HN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9535226072,-3.19660636712
714611,,Slight,1,1,06/11/2011,Sunday,6,November,11,19,40,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,328880,674140,558023,Segment,Pedestrian,351479,unset,EH87BJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9550556411,-3.1391486027
714711,,Slight,2,1,01/11/2011,Tuesday,1,November,11,13,15,230,Unclassified,,Single carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,330110,672570,12240142,Segment,T.V.N.P.,351480,unset,EH153LW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9411310873,-3.11904472282
714811,,Slight,2,1,06/11/2011,Sunday,6,November,11,16,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322520,672400,559248,Segment,Cyclist,351481,unset,EH112QH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9384404698,-3.24049283282
715011,,Serious,2,1,06/11/2011,Sunday,6,November,11,2,18,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324920,672830,533344,Junction,T.V.N.P.,351482,unset,EH39NA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9426843227,-3.2021969794
715111,,Slight,1,1,05/11/2011,Saturday,5,November,11,3,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,318860,674270,0,Unset,Pedestrian,351483,unset,EH48HN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9546358746,-3.29963725803
716211,,Slight,2,2,07/11/2011,Monday,7,November,11,8,19,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327920,671050,568093,Segment,T.V.N.P.,351484,unset,EH164TD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9271519902,-3.15369614249
716811,,Slight,2,2,07/11/2011,Monday,7,November,11,9,0,230,A,720,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319120,669820,2578907,Segment,T.V.N.P.,351485,unset,EH142SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9147029271,-3.29414047205
716911,,Slight,3,1,07/11/2011,Monday,7,November,11,9,5,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326710,671180,531439,Junction,Cyclist,351486,unset,EH93AH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9281370482,-3.17309388656
717011,,Slight,1,1,07/11/2011,Monday,7,November,11,11,0,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322590,670370,529981,Junction,S.V.N.P.,351487,unset,EH141DG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.920214737,-3.23879036793
