acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude,geojson
447210,,Slight,2,1,23/06/2010,Wednesday,23,June,10,14,30,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325930,674380,520599,Junction,Bus,361218,unset,EH13JG,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9567660521,-3.18645434965,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18645434965, 55.9567660521}}"
447310,,Slight,2,1,23/06/2010,Wednesday,23,June,10,14,20,230,A,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327010,675940,558521,Segment,T.V.N.P.,361219,unset,EH67AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9709462724,-3.16958163484,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.16958163484, 55.9709462724}}"
447410,,Serious,1,1,23/06/2010,Wednesday,23,June,10,15,15,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325170,673890,521058,Junction,Pedestrian,361220,unset,EH22HB,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.952246195,-3.19848903657,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.19848903657, 55.952246195}}"
448110,,Slight,2,1,23/06/2010,Wednesday,23,June,10,20,30,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325950,673600,521106,Junction,T.V.N.P.,361221,unset,EH11HN,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9497617014,-3.18591981276,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18591981276, 55.9497617014}}"
448210,,Slight,3,1,18/06/2010,Friday,18,June,10,14,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325430,674240,566762,Segment,M.V.N.P.,361222,unset,EH21JX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9554309655,-3.19442267328,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.19442267328, 55.9554309655}}"
448310,,Slight,2,1,22/06/2010,Tuesday,22,June,10,19,25,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,322560,675810,0,Unset,Cyclist,361223,unset,EH44BE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9690813596,-3.24083216345,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.24083216345, 55.9690813596}}"
449110,,Slight,3,1,24/06/2010,Thursday,24,June,10,8,20,230,A,772,Single carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327230,670710,569303,Segment,M.V.N.P.,361224,unset,EH165TY,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9239935291,-3.16464595487,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.16464595487, 55.9239935291}}"
450310,,Slight,1,1,24/06/2010,Thursday,24,June,10,9,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325370,676730,10310007,Junction,Cyclist,361225,unset,EH53BJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9777914068,-3.19607339001,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.19607339001, 55.9777914068}}"
450710,,Slight,1,1,22/06/2010,Tuesday,22,June,10,8,55,230,Unclassified,,Single carriageway - 2 lanes,30,Multiple junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322050,675520,12233423,Junction,Pedestrian,361226,unset,EH42RG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.966393585,-3.24891785897,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.24891785897, 55.966393585}}"
452610,,Slight,1,1,25/06/2010,Friday,25,June,10,12,30,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324460,670720,529795,Junction,Pedestrian,361227,unset,EH106AB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9236563462,-3.20897026544,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.20897026544, 55.9236563462}}"
